2015-05-04T21:17:15.362570+02:00; general settings initialized to default values
2015-05-04T21:17:15.362746+02:00; starting
2015-05-04T21:17:15.389648+02:00; no GPIO module was loaded, running in no-hardware mode
2015-05-04T21:17:15.389922+02:00; hardware settings initialized to default values
2015-05-04T21:17:15.390043+02:00; programs initialized to default values
2015-05-04T21:17:15.551979+02:00; water source is 5.0% full
2015-05-04T21:17:15.552401+02:00; station "station 0" (0) is 5.0% full
2015-05-04T21:17:15.552754+02:00; station "station 1" (1) is 5.0% full
2015-05-04T21:17:16.482032+02:00; general settings saved to file
2015-05-04T21:17:16.482374+02:00; programs saved to file
2015-05-04T21:17:16.482881+02:00; hardware settings saved to file
2015-05-04T21:17:16.482992+02:00; quitting
2015-05-04T21:19:19.841517+02:00; general settings loaded from file
2015-05-04T21:19:19.841679+02:00; starting
2015-05-04T21:19:19.842509+02:00; no GPIO module was loaded, running in no-hardware mode
2015-05-04T21:19:19.842980+02:00; hardware settings loaded from file
2015-05-04T21:19:19.843166+02:00; programs loaded from file
2015-05-04T21:19:19.854835+02:00; water source is 5.0% full
2015-05-04T21:19:19.862771+02:00; station "station 0" (0) is 5.0% full
2015-05-04T21:19:19.863161+02:00; station "station 1" (1) is 5.0% full
2015-05-04T21:19:20.469873+02:00; general settings saved to file
2015-05-04T21:19:20.470266+02:00; programs saved to file
2015-05-04T21:19:20.470906+02:00; hardware settings saved to file
2015-05-04T21:19:20.471035+02:00; quitting
